id,guestid,brandid,dinedate,covers
3ea06d3a-98cc-6599-24d1-ca8d22eaf580,10007,15,2018-02-16,5
ba103c8c-4e6e-9d67-c3d6-de236b7d735c,10001,15,2018-12-02,4
920e112c-f880-8258-64c3-2d81a7de1679,10003,15,2018-11-15,1
c0f2538e-449f-7aaa-6fd7-ccf531ead6ab,10002,15,2017-11-26,5
9d558c4b-5358-5b2f-8444-dde565666d9a,10006,15,2017-01-16,3
154ed34d-9380-debc-664e-8f9ddb67e59d,10005,15,2018-07-24,5
22968c3a-33a6-dcbc-9b3d-c053aa68ea21,10007,15,2017-04-02,1
f62443de-1bcb-6095-55ad-d7d7a8026a0f,10004,15,2017-03-08,5
b98c0ee5-de06-3bf1-e3a9-d62e18a377e9,10007,15,2018-06-01,4
5a5a4d57-a34d-55de-bd29-00ff41eb01f4,10010,15,2018-02-08,1
